TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,MADRID/TORREJON airport,Passenger,Passengers carried,All airlines,:,
2018M01,VALENCIA airport,Passenger,Passengers carried,All airlines,468 207,
2018M01,VALLADOLID airport,Passenger,Passengers carried,All airlines,12 721,
2018M01,VITORIA airport,Passenger,Passengers carried,All airlines,11 826,
2018M01,VIGO airport,Passenger,Passengers carried,All airlines,68 102,
2018M01,SEVE BALLESTEROS-SANTANDER airport,Passenger,Passengers carried,All airlines,64 697,
2018M01,ZARAGOZA airport,Passenger,Passengers carried,All airlines,27 238,
2018M01,SEVILLA airport,Passenger,Passengers carried,All airlines,421 952,
2018M01,DZAOUDZI airport,Passenger,Passengers carried,All airlines,30 995,
2018M01,LA REUNION-ROLAND GARROS airport,Passenger,Passengers carried,All airlines,239 597,
2018M01,SAINT PIERRE PIERREFONDS airport,Passenger,Passengers carried,All airlines,13 215,
2018M01,ALBERT-BRAY airport,Passenger,Passengers carried,All airlines,249,
2018M01,LE TOUQUET-COTE D'OPALE airport,Passenger,Passengers carried,All airlines,:,
2018M01,AGEN-LA GARENNE airport,Passenger,Passengers carried,All airlines,2 513,
2018M01,BORDEAUX-MERIGNAC airport,Passenger,Passengers carried,All airlines,385 256,
2018M01,BERGERAC-ROUMANIERE airport,Passenger,Passengers carried,All airlines,6 400,
2018M01,LA ROCHELLE-ILE DE RE airport,Passenger,Passengers carried,All airlines,4 373,
2018M01,POITIERS-BIARD airport,Passenger,Passengers carried,All airlines,4 552,
2018M01,LIMOGES-BELLEGARDE airport,Passenger,Passengers carried,All airlines,14 291,
2018M01,TOULOUSE/BLAGNAC airport,Passenger,Passengers carried,All airlines,677 331,
2018M01,PAU-PYRENEES airport,Passenger,Passengers carried,All airlines,46 430,
2018M01,TARBES LOURDES PYRENEES airport,Passenger,Passengers carried,All airlines,11 745,
2018M01,ANGOULEME-BRIE-CHAMPNIERS airport,Passenger,Passengers carried,All airlines,:,
2018M01,BRIVE/LA ROCHE airport,Passenger,Passengers carried,All airlines,:,
2018M01,PERIGEUX-BASSILLAC airport,Passenger,Passengers carried,All airlines,:,
